"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00028817","1993","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1659.2","","    1659.2","0","        57","0","        36","0","         1","0","        0","","         0","0","         0","0","        11","0","         0","0","       289","0","       152","0","","","   -3.9","0,1225, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.5"," ,0,0108, ","   43.3","0,0626, ","    2424.0","0","-1.7","0,1126","-2.8","0,1127","","","","","","","","","","","","","     806.5","5","     806.5","0","     12.60","0","     25.62","0","    340.4"," ,0","        0"," ,0","     20.66","0","     28.88","0","     12.45","0","",""
"USC00028817","1994","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1812.8","","    1812.8","0","        51","0","        28","0","         2","0","        0","","         0","0","         0","0","        27","0","         0","0","       286","0","       154","0","","","   -4.4","0,0201, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  41.1"," ,0,1205, ","   45.6","0,0629, ","    2726.0","0","-2.8","0,1120","-2.8","0,1120","","","","","-1.1","0,0223","-2.8","0,0202","-4.4","0,0201","","","     853.7","7","     853.7","0","     12.96","0","     26.17","0","    301.8"," ,0","        0"," ,0","     20.85","0","     29.18","0","     12.51","0","     22577","0"
"USC00028817","1995","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1656.7","","    1656.7","0","        39","0","        22","0","         1","0","        0","","         0","0","         0","0","        12","0","         0","0","       307","0","       159","0","","","   -2.8","0,1223, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  71.4"," ,0,0812, ","   45.0","0,0728, ","    2496.4","0","0.0","0,1128","-2.8","0,1223","","","","","0.0","0,0326","","","","","","","     861.5","5","     861.5","0","     12.56","0","     26.80","0","    243.6"," ,0","        0"," ,0","     20.89","0","     29.52","0","     12.25","0","     16215","0"
"USC00028817","1996","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1872.7","","    1872.7","0","        44","0","        27","0","         1","0","        0","","         0","0","         0","0","        19","0","         0","0","       325","0","       168","0","","","   -5.6","0,1219, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.8"," ,0,0823, ","   42.2","0,0813,+","    2904.2","0","0.0","0,1130","-2.2","0,1203","-5.6","0,1219","","","0.0","0,0127","-3.9","0,0124","","","","","     616.0","0","     616.0","0","     13.51","0","     28.13","0","    273.1"," ,0","        0"," ,0","     21.52","0","     30.50","0","     12.54","0","     22403","0"
"USC00028817","1997","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1896.3","","    1896.3","0","        61","0","        33","0","         0","0","        0","","         0","0","         0","0","        25","0","         0","0","       301","0","       175","0","","","   -4.4","0,1213, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.9"," ,0,1207, ","   43.9","0,0715, ","    2965.3","0","-1.1","0,1210","-2.2","0,1211","-4.4","0,1213","","","-0.6","0,0222","-3.9","0,0207","","","","","     778.1","1","     778.1","0","     13.02","0","     26.81","0","    268.4"," ,0","        0"," ,0","     21.14","0","     29.86","0","     12.42","0","     27281","0"
"USC00028817","1998","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1692.6","","    1692.6","0","        56","0","        34","0","         1","0","","","         0","0","         0","0","        18","0","         0","0","       294","0","       161","0","","","   -5.0","0,1224, ","","","     0"," ,0,1231,+","  29.7"," ,0,0705, ","   45.0","0,0715, ","    2722.8","0","-1.1","0,1207","-3.9","0,1208","-5.0","0,1224","","","-1.1","0,0301","-2.2","0,0107","","","","","    1005.4","4","    1005.4","0","     12.66","0","     26.93","0","    350.5"," ,0","        0"," ,0","     20.48","0","     29.29","0","     11.67","0","     23036","0"
"USC00028817","1999","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1764.8","","    1764.8","0","        36","0","        23","0","         2","0","        0","","         0","0","         0","0","        32","0","         0","0","       324","0","       189","0","","","   -5.6","0,0211, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.8"," ,0,0707, ","   43.3","0,0701, ","    3078.8","0","-1.1","0,1123","-3.3","0,1204","-4.4","0,1209","","","-2.2","0,0212","-2.2","0,0212","-5.6","0,0211","","","     711.4","4","     711.4","0","     11.96","0","     27.12","0","    347.8"," ,0","        0"," ,0","     21.16","0","     30.62","0","     11.70","0","     25538","0"
"USC00028817","2000","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1917.9","","    1917.9","0","        48","0","        32","0","         3","0","        0","","         0","0","         0","0","        28","0","         0","0","       306","0","       171","0","","","   -5.0","0,0104, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.9"," ,0,0824, ","   43.3","0,0528, ","","","-0.6","0,1116","-2.2","0,1118","","","","","-1.1","0,0225","-2.2","0,0109","-5.0","0,0104","","","     667.3","3","     667.3","0","","","","","    327.4"," ,0","        0"," ,0","     21.41","0","     30.41","0","     12.40","0","",""
"USC00028817","2001","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   2011.9","","    2011.9","0","        54","0","        34","0","         0","0","        0","","         0","0","         0","0","        33","0","         0","0","       295","0","       179","0","","","   -3.9","0,1226, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  19.8"," ,0,0407, ","   44.4","0,0702, ","","","0.0","0,1127","-2.2","0,1128","","","","","-1.1","0,0217","-2.2","0,0202","","","","","     960.0","0","     960.0","0","","","","","    253.1"," ,0","        0"," ,0","     21.46","0","     30.20","0","     12.72","0","",""
"USC00028817","2002","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1893.2","","    1893.2","0","        37","0","        19","0","         1","0","        0","","         0","0","         0","0","        20","0","         0","0","       307","0","       171","0","","","   -5.0","0,0131, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  45.7"," ,0,0803, ","   43.9","0,0626,+","","","-1.1","0,1219","-2.2","0,1226","","","","","-3.3","0,0304","-3.3","0,0304","-4.4","0,0201","","","     748.2","2","     748.2","0","","","","","    184.0"," ,0","        0"," ,0","     21.51","0","     30.41","0","     12.62","0","",""
"USC00028817","2003","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1960.3","","    1960.3","0","        49","0","        31","0","         1","0","        0","","         0","0","         0","0","        18","0","         0","0","       313","0","       163","0","         7"," ","   -6.1","0,1229,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.7"," ,0,0826, ","   43.9","0,0810,+","","","-2.2","0,1123","-2.2","0,1123","-6.1","0,1228","","","-0.6","0,0210","","","","","","","     683.0","0","     683.0","0","","","","","    260.1"," ,0","        0"," ,0","     21.82","0","     30.43","0","     13.22","0","",""
"USC00028817","2004","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1818.7","","    1818.7","0","        55","0","        27","0","         0","0","        0","","         0","0","         0","0","        24","0","         0","0","       284","0","       165","0","","","   -5.0","0,1130, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.8"," ,0,0304, ","   42.8","0,0604, ","","","-2.2","0,1129","-2.2","0,1129","-5.0","0,1130","","","-1.7","0,0214","-2.8","0,0213","","","","","     768.7","7","     768.7","0","","","","","    212.8"," ,0","        0"," ,0","     20.96","0","     29.23","0","     12.69","0","",""
"USC00028817","2005","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1894.6","","    1894.6","0","        52","0","        25","0","         1","0","","","","","         0","0","        13","0","         0","0","       305","0","       162","0","","","   -4.4","0,1128, ","","","","","  27.9"," ,0,0807, ","   44.4","0,0717, ","","","-4.4","0,1128","-4.4","0,1128","-4.4","0,1128","","","0.0","0,0115","","","","","","","     790.9","9","     790.9","0","","","","","    279.7"," ,0","","","     21.62","0","     30.07","0","     13.16","0","",""
"USC00028817","2006","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     661.6","6","     661.6","0","","","","","","","","","","","","","","","",""
"USC00028817","2007","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1986.7","","    1986.7","0","        46","0","        19","0","         2","0","        0","","         0","0","         0","0","        29","0","         0","0","       298","0","       184","0","","","   -7.2","0,0115, ","     0","T,0,0122, ","    18"," ,0,0122, ","  47.0"," ,0,1201, ","   43.9","0,0704, ","","","-1.7","0,1215","-3.3","0,1222","-4.4","0,1223","","","-0.6","0,0303","-4.4","0,0124","-4.4","0,0124","-7.2","0,0115","","","","","","","","","    238.2"," ,0","       18"," ,0","     21.68","0","     30.23","0","     13.12","0","",""
"USC00028817","2008","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1752.8","","    1752.8","0","        47","0","        30","0","         1","0","","","","","         0","0","        17","0","         0","0","       300","0","       171","0","","","   -4.4","0,1228, ","","","","","  26.9"," ,0,0814, ","   44.4","0,0621, ","","","0.0","0,1219","-4.4","0,1228","-4.4","0,1228","","","0.0","0,0306","-2.8","0,0120","","","","","     767.0","0","     767.0","0","","","","","    300.4"," ,0","","","     21.10","0","     29.90","0","     12.30","0","",""
"USC00028817","2009","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     638.2","2","     638.2"," ","","","","","","","","","","","","","","","",""
"USC00028817","2010","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00028817","2011","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","   1784.3","","    1784.3","7","        41","7","        20","7","         2","7","        0","","         0","7","         0","7","        37","7","         0","7","       296","7","       164","7","","","   -7.2","7,0204,+","     0"," ,7,1231,+","     0"," ,7,1231,+","  31.7"," ,7,0911, ","   44.4","7,0627, ","","","-1.1","7,1205","-3.3","7,1206","","","","","-2.2","7,0228","-2.2","7,0228","-7.2","7,0204","-7.2","7,0204","     853.9","9","     853.9","7","","","","","    195.2"," ,7","        0"," ,7","     20.61","7","     29.34","7","     11.89","7","",""
"USC00028817","2012","32.258","-111.0052","705.6","TUCSON U OF A NUMBER 1, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     863.0","0","     863.0","7","","","","","","","","","","","","","","","",""
