"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00419966","1950","31.69528","-106.32167","1118.6","YSLETA, TX US","    999.7","","     999.7","0","        16","0","        11","0","         1","0","        0","","         0","0","         0","0","        75","0","         0","0","       292","0","       111","0","","","  -11.7","0,1111, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  35.6"," ,0,0722, ","   40.0","0,0628,+","-2.8","0,1104","-2.8","0,1104","-4.4","0,1109","-11.7","0,1111","-11.7","0,1111","-2.8","0,0317","-2.8","0,0317","-6.1","0,0117","-10.0","0,0107","-10.0","0,0107","    1366.0","0","    1366.0","0","","","    158.9"," ,0","        0"," ,0","     17.65","0","     27.32","0","      7.98","0","",""
"USC00419966","1951","31.69528","-106.32167","1118.6","YSLETA, TX US","   1145.0","","    1145.0","0","        19","0","        15","0","         0","0","        0","","         0","0","         0","0","        92","0","         1","0","       261","0","       127","0","","","  -14.4","0,0202, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.9"," ,0,0821, ","   42.8","0,0708, ","-0.6","0,1101","-3.9","0,1102","-4.4","0,1118","-7.8","0,1125","","","-1.1","0,0412","-2.8","0,0329","-5.0","0,0319","-7.2","0,0305","-10.0","0,0203","    1479.4","4","    1479.4","0","","","    141.7"," ,0","        0"," ,0","     17.10","0","     26.41","0","      7.79","0","",""
"USC00419966","1952","31.69528","-106.32167","1118.6","YSLETA, TX US","   1073.3","","    1073.3","0","        17","0","        15","0","         1","0","        0","","         0","0","         0","0","        88","0","         0","0","       254","0","       125","0","","","  -11.1","0,1204, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.8"," ,0,0711, ","   40.0","0,0808, ","-1.1","0,1105","-3.3","0,1110","-6.1","0,1117","-6.7","0,1118","-8.9","0,1203","-1.1","0,0327","-3.3","0,0320","-8.9","0,0225","-8.9","0,0225","-8.9","0,0225","    1468.0","0","    1468.0","0","","","    169.5"," ,0","        0"," ,0","     16.92","0","     26.24","0","      7.61","0","",""
"USC00419966","1953","31.69528","-106.32167","1118.6","YSLETA, TX US","   1047.8","","    1047.8","0","        18","0","        11","0","         0","0","        0","","         0","0","         1","0","        86","0","         1","0","       271","0","       120","0","","","  -17.8","0,1224, ","     0"," ,0,1231,+","     0","T,0,1223,+","  24.9"," ,0,0713, ","   42.2","0,0623, ","0.0","0,1026","-2.2","0,1113","-6.1","0,1119","-8.3","0,1205","-10.0","0,1206","0.0","0,0412","-3.3","0,0305","-7.8","0,0304","-7.8","0,0304","-10.6","0,0220","    1542.0","0","    1542.0","0","","","    102.2"," ,0","        0","T,0","     16.73","0","     26.37","0","      7.08","0","",""
"USC00419966","1954","31.69528","-106.32167","1118.6","YSLETA, TX US","   1126.6","","    1126.6","0","        24","0","        13","0","         1","0","        0","","         1","0","         0","0","        92","0","         0","0","       275","0","       126","0","","","  -11.7","0,0101, ","     0"," ,0,1231,+","    25"," ,0,1227, ","  27.9"," ,0,0823, ","   41.1","0,0728, ","-1.7","0,1104","-2.2","0,1105","-5.6","0,1211","-8.3","0,1212","-8.9","0,1217","-2.2","0,0327","-2.2","0,0327","-4.4","0,0305","-7.8","0,0116","-9.4","0,0112","    1580.7","7","    1580.7","0","","","    155.1"," ,0","       25"," ,0","     17.56","0","     27.20","0","      7.92","0","",""
"USC00419966","1955","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        32","0","        17","0","         1","0","        0","","         1","0","         0","0","        83","0","         0","0","       268","0","       111","0","","","   -9.4","0,0326,+","     0"," ,0,1231,+","    25"," ,0,0326, ","  34.3"," ,0,0812, ","   41.1","0,0609, ","-5.6","0,1109","-5.6","0,1109","-5.6","0,1109","","","","","0.0","0,0401","-5.6","0,0327","-5.6","0,0327","-9.4","0,0326","-9.4","0,0326","","","","","","","    157.5"," ,0","       38"," ,0","     16.80","0","     26.05","0","      7.54","0","",""
"USC00419966","1956","31.69528","-106.32167","1118.6","YSLETA, TX US","   1120.2","","    1120.2","0","        29","0","        13","0","         0","0","        4","","         3","0","         0","0","        99","0","         1","0","       251","0","       145","0","","","  -11.7","0,1227, ","   102"," ,0,0203,+","   102"," ,0,0202, ","  11.7"," ,0,0627, ","   40.6","0,0627, ","-1.7","0,1026","-3.9","0,1031","-5.6","0,1105","-6.7","0,1117","-10.6","0,1122","-1.1","0,0404","-2.2","0,0317","-5.0","0,0316","-8.3","0,0308","-8.9","0,0205","    1451.3","3","    1451.3","0","","","     90.8"," ,0","      191"," ,0","     16.82","0","     26.78","0","      6.85","0","",""
"USC00419966","1957","31.69528","-106.32167","1118.6","YSLETA, TX US","   1094.6","","    1094.6","0","        44","0","        19","0","         0","0","        0","","         1","0","         0","0","        62","0","         0","0","       253","0","       106","0","","","  -10.0","0,1201,+","     0"," ,0,1231,+","    25"," ,0,1122, ","  22.4"," ,0,1006, ","   42.8","0,0629, ","-2.2","0,1108","-2.2","0,1108","-10.0","0,1123","-10.0","0,1123","-10.0","0,1123","-2.8","0,0326","-2.8","0,0326","-6.7","0,0202","-6.7","0,0202","","","    1480.6","6","    1480.6","0","","","    180.6"," ,0","       25"," ,0","     17.36","0","     25.90","0","      8.82","0","",""
"USC00419966","1958","31.69528","-106.32167","1118.6","YSLETA, TX US","   1170.9","","    1170.9","0","        55","0","        32","0","         3","0","        2","","         3","0","         0","0","        74","0","         0","0","       235","0","       114","0","","","  -11.7","0,1231, ","   127"," ,0,0312, ","   135"," ,0,0312, ","  59.7"," ,0,0927, ","   42.2","0,0713, ","0.0","0,1031","-2.2","0,1117","-6.7","0,1118","-6.7","0,1118","-8.9","0,1215","0.0","0,0314","-4.4","0,0228","-4.4","0,0228","-7.2","0,0116","","","    1695.6","6","    1695.6","0","","","    397.0"," ,0","      206"," ,0","     17.06","0","     25.54","0","      8.59","0","",""
"USC00419966","1959","31.69528","-106.32167","1118.6","YSLETA, TX US","   1031.5","","    1031.5","0","        26","0","        11","0","         0","0","        0","","         0","0","         0","0","        94","0","         0","0","       246","0","       119","0","","","  -12.2","0,0101, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.8"," ,0,0816, ","   40.0","0,0625,+","-1.7","0,1106","-4.4","0,1107","-4.4","0,1107","-11.1","0,1127","-11.1","0,1127","-1.1","0,0322","-3.3","0,0318","-6.7","0,0312","-6.7","0,0312","-12.2","0,0101","    1555.2","2","    1555.2","0","","","     97.6"," ,0","        0"," ,0","     16.76","0","     26.19","0","      7.34","0","",""
"USC00419966","1960","31.69528","-106.32167","1118.6","YSLETA, TX US","   1084.5","","    1084.5","0","        35","0","        19","0","         1","0","","","         3","0","         0","0","       102","0","         0","0","       249","0","       120","0","","","  -10.0","0,0225,+","","","   127"," ,0,1209, ","  25.4"," ,0,0705, ","   42.2","0,0623,+","-1.1","0,1031","-2.8","0,1117","-5.0","0,1118","-6.7","0,1205","","","-1.7","0,0403","-2.2","0,0319","-4.4","0,0318","-6.7","0,0226","-10.0","0,0225","    1675.6","6","    1675.6","0","","","    203.9"," ,0","      254"," ,0","     16.51","0","     25.65","0","      7.37","0","",""
"USC00419966","1961","31.69528","-106.32167","1118.6","YSLETA, TX US","   1021.9","","    1021.9","0","        33","0","        19","0","         0","0","        0","","         1","0","         0","0","        93","0","         0","0","       245","0","       120","0","","","   -7.2","0,1230,+","     0"," ,0,1231,+","    76"," ,0,1114, ","  15.2"," ,0,0801, ","   40.6","0,0625, ","-3.3","0,1103","-3.3","0,1103","-4.4","0,1219","-7.2","0,1230","","","-1.1","0,0410","-2.8","0,0320","-5.6","0,0302","-6.7","0,0225","","","    1723.4","4","    1723.4","0","","","    145.7"," ,0","       89"," ,0","     16.41","0","     25.54","0","      7.27","0","",""
"USC00419966","1962","31.69528","-106.32167","1118.6","YSLETA, TX US","   1099.1","","    1099.1","0","        42","0","        22","0","         1","0","","","         2","0","         2","0","        76","0","         2","0","       257","0","       120","0","","","  -23.3","0,0111, ","","","    46"," ,0,0114, ","  47.2"," ,0,0906, ","   38.9","0,0830,+","-1.1","0,1109","-2.8","0,1120","-6.7","0,1229","-6.7","0,1229","","","0.0","0,0326","-5.6","0,0316","-5.6","0,0316","-8.3","0,0315","-11.1","0,0115","    1659.0","0","    1659.0","0","","","    239.4"," ,0","       84"," ,0","     17.16","0","     25.83","0","      8.49","0","",""
"USC00419966","1963","31.69528","-106.32167","1118.6","YSLETA, TX US","   1155.9","","    1155.9","0","        30","0","        14","0","         1","0","        2","","         2","0","         0","0","        85","0","         2","0","       263","0","       120","0","","","  -12.2","0,0114,+","    76"," ,0,0212, ","   114"," ,0,0212, ","  30.5"," ,0,0905, ","   41.1","0,0716, ","-2.8","0,1123","-2.8","0,1123","-6.1","0,1204","-10.6","0,1223","-10.6","0,1223","-3.9","0,0319","-3.9","0,0319","-5.6","0,0215","-8.9","0,0214","-8.9","0,0214","    1490.9","9","    1490.9","0","","","    131.6"," ,0","      139"," ,0","     17.20","0","     26.10","0","      8.30","0","",""
"USC00419966","1964","31.69528","-106.32167","1118.6","YSLETA, TX US","   1093.9","","    1093.9","0","        28","0","        13","0","         0","0","        0","","         0","0","         0","0","       106","0","         0","0","       239","0","       114","0","","","  -13.3","0,1214, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  19.6"," ,0,0801, ","   41.7","0,0704, ","0.0","0,1105","-2.8","0,1113","-6.7","0,1120","-6.7","0,1120","-13.3","0,1214","-2.2","0,0326","-2.2","0,0326","-4.4","0,0315","-6.7","0,0314","-8.9","0,0309","    1781.3","3","    1781.3","0","","","    115.7"," ,0","        0"," ,0","     16.32","0","     25.38","0","      7.27","0","",""
"USC00419966","1965","31.69528","-106.32167","1118.6","YSLETA, TX US","   1025.3","","    1025.3","0","        38","0","        15","0","         2","0","        0","","         0","0","         0","0","        64","0","         0","0","       263","0","       110","0","","","  -10.6","0,0304, ","     0"," ,0,1231,+","    13"," ,0,0224, ","  42.2"," ,0,0908, ","   40.0","0,0808, ","0.0","0,1113","-2.2","0,1127","-5.0","0,1205","","","","","-3.9","0,0320","-3.9","0,0320","-4.4","0,0319","-7.8","0,0305","-10.6","0,0304","    1567.9","9","    1567.9","0","","","    180.7"," ,0","       13"," ,0","     17.07","0","     25.95","0","      8.19","0","",""
"USC00419966","1966","31.69528","-106.32167","1118.6","YSLETA, TX US","   1001.7","","    1001.7","0","        43","0","        20","0","         3","0","        0","","         0","0","         0","0","       101","0","         0","0","       264","0","       108","0","","","  -12.2","0,1229, ","     0"," ,0,1231,+","    13"," ,0,0118, ","  41.1"," ,0,0626, ","   40.0","0,0802,+","0.0","0,1018","-5.0","0,1102","-5.0","0,1102","-8.9","0,1210","-8.9","0,1210","0.0","0,0406","-7.2","0,0305","-7.2","0,0305","-7.2","0,0305","-11.1","0,0217","    1581.2","2","    1581.2","0","","","    293.5"," ,0","       13"," ,0","     16.27","0","     25.32","0","      7.22","0","",""
"USC00419966","1967","31.69528","-106.32167","1118.6","YSLETA, TX US","    947.7","","     947.7","0","        34","0","        16","0","         0","0","        0","","         1","0","         0","0","        96","0","         1","0","       270","0","       111","0","","","  -15.0","0,0109, ","     0"," ,0,1231,+","    51"," ,0,1217, ","  20.6"," ,0,0718, ","   39.4","0,0624, ","0.0","0,1017","-3.3","0,1031","-9.4","0,1210","-9.4","0,1210","-9.4","0,1210","-2.8","0,0502","-2.8","0,0502","-4.4","0,0309","-7.8","0,0212","-11.1","0,0209","    1636.3","3","    1636.3","0","","","    131.9"," ,0","       51"," ,0","     16.48","0","     25.94","0","      7.02","0","",""
"USC00419966","1968","31.69528","-106.32167","1118.6","YSLETA, TX US","   1011.5","","    1011.5","0","        52","0","        28","0","         3","0","        1","","         1","0","         0","0","        71","0","         1","0","       252","0","       109","0","","","  -11.1","0,1223, ","   152"," ,0,1127, ","   152"," ,0,1127, ","  78.2"," ,0,0706, ","   42.8","0,0622, ","-2.2","0,1112","-2.2","0,1112","-5.6","0,1203","-6.7","0,1204","-11.1","0,1223","-0.6","0,0424","-3.3","0,0322","-5.6","0,0202","-6.7","0,0114","","","    1580.6","6","    1580.6","0","","","    355.9"," ,0","      152"," ,0","     16.80","0","     25.66","0","      7.94","0","",""
"USC00419966","1969","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        36","0","        14","0","         0","0","        0","","         2","0","         0","0","        72","0","","","","","","","","","   -8.9","0,1231, ","     0"," ,0,1231,+","   178"," ,0,1128, ","  18.3"," ,0,1128, ","","","-0.6","0,1031","-2.2","0,1115","-4.4","0,1119","-7.8","0,1120","-8.9","0,1231","-1.1","0,0326","-4.4","0,0317","-4.4","0,0317","-7.2","0,0201","","","    1412.7","7","    1412.7"," ","","","    128.6"," ,0","      216"," ,0","","","","","      8.36","0","",""
"USC00419966","1970","31.69528","-106.32167","1118.6","YSLETA, TX US","   1066.0","","    1066.0","0","        40","0","        18","0","         0","0","        0","","         0","0","         0","0","        75","0","         0","0","       239","0","       118","0","","","  -11.7","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.3"," ,0,0806, ","   42.2","0,0619, ","-3.3","0,1028","-3.3","0,1028","-6.1","0,1116","-6.7","0,1216","","","-0.6","0,0406","-2.8","0,0313","-5.6","0,0204","-7.8","0,0203","-11.1","0,0130","","","","","","","    151.4"," ,0","        0"," ,0","     16.83","0","     25.89","0","      7.77","0","",""
"USC00419966","1971","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1464.0","0","    1464.0","0","","","","","","","","","","","","","",""
"USC00419966","1972","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        52","0","        27","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","     0","T,0,0201,+","     8"," ,0,0201,+","  42.7"," ,0,0826, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    336.8"," ,0","       16"," ,0","","","","","","","",""
"USC00419966","1973","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        36","0","        16","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.3"," ,0,0715, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    167.0"," ,0","        0"," ,0","","","","","","","",""
"USC00419966","1974","31.69528","-106.32167","1118.6","YSLETA, TX US","   1153.7","","    1153.7","0","        47","0","        29","0","         5","0","        0","","         0","0","         0","0","        76","0","         1","0","       252","0","       117","0","","","  -10.0","0,0209, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  83.8"," ,0,0923, ","   42.8","0,0623, ","-1.1","0,1124","-5.6","0,1125","-5.6","0,1125","-6.7","0,1215","","","0.0","0,0312","-2.8","0,0310","-5.6","0,0226","-10.0","0,0209","-10.0","0,0209","","","","","","","    426.3"," ,0","        0"," ,0","     17.37","0","     26.29","0","      8.45","0","",""
"USC00419966","1975","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        42","0","        16","0","         1","0","        0","","         0","0","         0","0","        90","0","         0","0","       251","0","       122","0","","","   -9.4","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  47.5"," ,0,0912, ","   40.0","0,0628, ","-3.3","0,1113","-3.3","0,1113","-4.4","0,1123","-7.8","0,1201","","","0.0","0,0419","-4.4","0,0225","-4.4","0,0225","-6.7","0,0114","-9.4","0,0105","    1601.4","4","    1601.4","0","","","    169.4"," ,0","        0"," ,0","     16.53","0","     25.91","0","      7.16","0","",""
"USC00419966","1976","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    250.2"," ,0","        0"," ,0","","","","","","","",""
"USC00419966","1977","31.69528","-106.32167","1118.6","YSLETA, TX US","   1266.6","","    1266.6","0","        39","0","        20","0","         1","0","        0","","         0","0","         0","0","        76","0","         0","0","       252","0","       128","0","","","  -11.7","0,0110, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.1"," ,0,1004, ","   43.3","0,0820, ","-2.2","0,1109","-2.2","0,1109","-5.6","0,1207","-9.4","0,1221","-9.4","0,1221","-1.1","0,0320","-2.2","0,0308","-5.6","0,0307","-6.7","0,0306","-11.7","0,0110","","","","","","","    230.4"," ,0","        0"," ,0","     17.86","0","     26.79","0","      8.93","0","",""
"USC00419966","1978","31.69528","-106.32167","1118.6","YSLETA, TX US","   1215.6","","    1215.6","0","        58","0","        20","0","         3","0","        0","","         0","0","         0","0","        64","0","         0","0","       244","0","       107","0","","","  -13.3","0,1209, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.1"," ,0,0924, ","   43.3","0,0625,+","-1.1","0,1117","-3.9","0,1128","-5.0","0,1204","-13.3","0,1209","-13.3","0,1209","0.0","0,0318","-2.8","0,0222","-7.2","0,0220","-7.2","0,0220","","","    1330.6","6","    1330.6","0","","","    272.1"," ,0","        0"," ,0","     17.63","0","     26.15","0","      9.11","0","",""
"USC00419966","1979","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        44","0","        24","0","         0","0","        0","","         0","0","         0","0","        96","0","","","","","","","","","  -11.7","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.6"," ,0,0801, ","","","-2.8","0,1031","-2.8","0,1031","-5.6","0,1113","-8.3","0,1122","-9.4","0,1201","0.0","0,0405","-2.2","0,0311","-5.6","0,0207","-7.8","0,0131","-9.4","0,0103","    1632.4","4","    1632.4","0","","","    207.8"," ,0","        0"," ,0","","","","","      6.77","0","     29021","0"
"USC00419966","1980","31.69528","-106.32167","1118.6","YSLETA, TX US","   1307.4","","    1307.4","0","        44","0","        28","0","         1","0","        0","","         0","0","         0","0","        94","0","         0","0","       274","0","       127","0","","","  -10.6","0,0209, ","     0"," ,0,1231,+","    13"," ,0,1116, ","  35.3"," ,0,0926, ","   43.3","0,0629,+","-3.3","0,1029","-3.3","0,1029","-6.7","0,1118","-6.7","0,1118","","","0.0","0,0415","-2.2","0,0414","-4.4","0,0302","-7.8","0,0211","-8.9","0,0210","","","","","","","    213.1"," ,0","       13"," ,0","     17.76","0","     27.41","0","      8.11","0","     23876","0"
"USC00419966","1981","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        64","0","        23","0","         2","0","        0","","         0","0","         0","0","        58","0","         0","0","       301","0","       140","0","","","   -6.7","0,0211, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.0"," ,0,0812, ","   45.0","0,0623, ","-1.1","0,1102","-2.2","0,1202","-4.4","0,1218","","","","","-1.7","0,0308","-2.2","0,0224","-4.4","0,0212","-6.7","0,0211","","","    1320.2","2","    1320.2","0","","","    253.9"," ,0","        0"," ,0","     19.00","0","     28.72","0","      9.27","0","",""
"USC00419966","1982","31.69528","-106.32167","1118.6","YSLETA, TX US","   1420.5","","    1420.5","0","        59","0","        21","0","         1","0","","","","","         0","0","        69","0","         0","0","       296","0","       147","0","","","   -8.3","0,0104, ","","","","","  57.4"," ,0,1001, ","   43.3","0,0629, ","0.0","0,1029","-3.3","0,1112","-6.1","0,1128","-7.8","0,1225","","","-3.3","0,0307","-3.3","0,0307","-5.0","0,0204","-6.7","0,0110","","","","","","","     26.03","0","    236.2"," ,0","","","     18.87","0","     28.88","0","      8.86","0","     30325","0"
