"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094918","1964","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    522.2","","     522.2","0","       108","0","        64","0","         8","0","       34","","         9","0","         9","0","       144","0","        48","0","       146","0","        21","0","","","","","","","  -26.1","0,0113, ","   127"," ,0,1207,+","    79"," ,0,0111, ","  54.1"," ,0,0525, ","   38.3","0,0802, ","-3.3","0,1009","-3.3","0,1009","-6.7","0,1119","-6.7","0,1119","-14.4","0,1120","-1.7","0,0409","-2.2","0,0408","-10.0","0,0330","-10.0","0,0330","-10.0","0,0330","    3364.1","1","    3364.1","0","    816.8"," ,0","","","      623"," ,0","     10.04","0","     15.81","0","      4.26","0","","","","","","","","","",""
"USW00094918","1965","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    432.9","","     432.9","0","       115","0","        70","0","         9","0","       62","","         9","0","        16","0","       136","0","        57","0","       151","0","        14","0","","","","","","","  -26.1","0,0130, ","   457"," ,0,0212, ","   445"," ,0,0211, "," 134.9"," ,0,0907, ","   35.0","0,0812, ","-1.7","0,0924","-2.8","0,1024","-6.7","0,1109","-6.7","0,1109","-8.9","0,1117","0.0","0,0416","-4.4","0,0330","-4.4","0,0330","-15.0","0,0326","-15.0","0,0326","    3940.6","6","    3940.6","0","   1102.8"," ,0","","","     1199"," ,0","      9.28","0","     14.75","0","      3.82","0","","","","","","","","","",""
"USW00094918","1966","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    486.0","","     486.0","0","        87","0","        49","0","         6","0","       28","","         6","0","        14","0","       145","0","        57","0","       147","0","        18","0","","","","","","","  -30.0","0,0129, ","   152"," ,0,1230,+","   119"," ,0,1227, ","  70.6"," ,0,0820, ","   38.3","0,0712, ","-1.1","0,1015","-5.0","0,1101","-5.0","0,1101","-8.9","0,1102","-8.9","0,1102","0.0","0,0509","-4.4","0,0421","-4.4","0,0421","-7.8","0,0325","-12.2","0,0324","    3566.6","6","    3566.6","0","    628.6"," ,0","","","      468"," ,0","      9.26","0","     15.10","0","      3.42","0","","","","","","","","","",""
"USW00094918","1967","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    413.2","","     413.2","0","       100","0","        51","0","         6","0","       36","","         5","0","         9","0","       145","0","        38","0","       152","0","        10","0","","","","","","","  -24.4","0,1231, ","   127"," ,0,1227,+","    89"," ,0,1226, ","  46.5"," ,0,0609, ","   37.8","0,0525,+","-0.6","0,1010","-6.1","0,1027","-6.1","0,1027","-6.7","0,1028","-10.0","0,1127","-1.7","0,0503","-3.9","0,0502","-5.6","0,0321","-8.9","0,0318","-8.9","0,0318","    3608.8","8","    3608.8","0","    653.4"," ,0","","","      442"," ,0","      9.50","0","     15.39","0","      3.61","0","","","","","","","","","",""
"USW00094918","1968","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    517.8","","     517.8","0","       107","0","        54","0","         7","0","       41","","         7","0","        14","0","       134","0","        48","0","       150","0","        24","0","","","","","","","  -28.3","0,1231,+","   152"," ,0,1231,+","    74"," ,0,0111, ","  67.8"," ,0,1016, ","   35.0","0,0806,+","0.0","0,1019","-5.6","0,1108","-5.6","0,1108","-6.7","0,1109","-8.9","0,1111","0.0","0,0425","-8.3","0,0405","-8.3","0,0405","-8.3","0,0405","-11.7","0,0323","    3595.7","7","    3595.7","0","    829.7"," ,0","","","      489"," ,0","      9.77","0","     15.47","0","      4.08","0","","","","","","","","","",""
"USW00094918","1969","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    517.1","","     517.1","0","       103","0","        49","0","         7","0","       92","","        12","0","        11","0","       145","0","        74","0","       145","0","        15","0","","","","","","","  -27.8","0,0104, ","   229"," ,0,0216,+","   201"," ,0,1206, ","  62.5"," ,0,0831, ","   38.3","0,0606, ","-1.1","0,1013","-3.9","0,1014","-6.1","0,1027","-7.8","0,1113","-10.6","0,1114","0.0","0,0405","-2.8","0,0331","-9.4","0,0330","-9.4","0,0330","-9.4","0,0330","    3909.9","9","    3909.9","0","    747.1"," ,0","","","     1103"," ,0","      9.01","0","     14.21","0","      3.82","0","","","","","","","","","",""
"USW00094918","1970","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    625.9","","     625.9","0","        87","0","        48","0","         7","0","       34","","         6","0","        16","0","       154","0","        50","0","       154","0","        29","0","","","","","","","  -27.2","0,0120,+","   279"," ,0,0104,+","   104"," ,0,1009, ","  49.3"," ,0,0802, ","   36.7","0,0701, ","-2.2","0,1009","-2.2","0,1009","-6.7","0,1114","-6.7","0,1114","-11.1","0,1115","0.0","0,0502","-6.1","0,0404","-6.1","0,0404","-8.3","0,0402","-11.7","0,0328","    3756.2","2","    3756.2","0","    658.3"," ,0","","","      357"," ,0","      9.69","0","     15.46","0","      3.92","0","","","","","","","","","",""
"USW00094918","1971","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    557.3","","     557.3","0","       100","0","        43","0","         5","0","       80","","         9","0","        15","0","       139","0","        64","0","       155","0","        21","0","","","","","","","  -26.1","0,0106, ","   279"," ,0,0223, ","   218"," ,0,0103, ","  46.5"," ,0,0506, ","   37.8","0,0626,+","-3.3","0,1031","-3.3","0,1031","-9.4","0,1106","-9.4","0,1106","-9.4","0,1106","0.0","0,0407","-3.9","0,0406","-4.4","0,0403","-9.4","0,0324","-9.4","0,0324","    3835.6","6","    3835.6","0","    654.5"," ,0","","","     1226"," ,0","      9.73","0","     15.21","0","      4.25","0","","","","","","","","","",""
"USW00094918","1972","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    492.5","","     492.5","0","       118","0","        58","0","         7","0","       51","","         9","0","        23","0","       143","0","        57","0","       142","0","        19","0","","","","","","","  -27.8","0,0115, ","   203"," ,0,1114, ","   203"," ,0,1113, ","  79.2"," ,0,0911, ","   35.6","0,0609,+","0.0","0,1007","-5.0","0,1018","-5.0","0,1018","-8.9","0,1019","-8.9","0,1019","-0.6","0,0409","-3.9","0,0408","-4.4","0,0404","-9.4","0,0308","-9.4","0,0308","    3578.2","2","    3578.2","0","    873.2"," ,0","","","      717"," ,0","      9.01","0","     14.41","0","      3.61","0","","","","","","","","","",""
"USW00094918","1973","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    536.4","","     536.4","0","       119","0","        64","0","         9","0","       64","","        12","0","        12","0","       118","0","        47","0","       144","0","        22","0","","","","","","","  -26.1","0,0109, ","   178"," ,0,0123,+","   185"," ,0,0121, ","  68.6"," ,0,0703, ","   36.1","0,0826, ","-1.7","0,1029","-5.0","0,1104","-5.0","0,1104","-6.7","0,1105","-11.7","0,1206","0.0","0,0416","-6.1","0,0410","-6.1","0,0410","-14.4","0,0217","-14.4","0,0217","    3700.9","9","    3700.9","0","    967.1"," ,0","","","      975"," ,0","     10.23","0","     15.16","0","      5.31","0","","","","","","","","","",""
"USW00094918","1974","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","","","","","        95","0","        40","0","         5","0","       52","","        12","0","","","","","","","","","","","","","","","","","","","   254"," ,0,0113,+","   127"," ,0,1214, ","  76.7"," ,0,0608, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    616.3"," ,0","","","      825"," ,0","","","","","","","","","","","","","","","",""
"USW00094918","1975","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    638.4","","     638.4","0","       110","0","        56","0","         4","0","       87","","        14","0","        13","0","       140","0","        70","0","       152","0","        34","0","","","","","","","  -25.6","0,0209, ","   356"," ,0,0111, ","   284"," ,0,0110, ","  47.0"," ,0,0506, ","   37.2","0,0812, ","-3.9","0,1025","-3.9","0,1025","-4.4","0,1112","-7.2","0,1113","-8.9","0,1121","0.0","0,0420","-2.8","0,0411","-13.9","0,0403","-13.9","0,0403","-13.9","0,0403","    3792.0","0","    3792.0","0","    600.1"," ,0","","","     1301"," ,0","      9.83","0","     15.30","0","      4.36","0","","","","","","","","","",""
"USW00094918","1976","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    615.2","","     615.2","0","        69","0","        42","0","         3","0","       21","","         7","0","        14","0","       142","0","        38","0","       155","0","        31","0","","","","","","","  -25.0","0,1231,+","   102"," ,0,0305,+","   102"," ,0,0202, ","  52.3"," ,0,0522, ","   37.2","0,0826,+","-3.9","0,1016","-3.9","0,1016","-4.4","0,1104","-10.6","0,1111","-10.6","0,1111","-3.3","0,0503","-3.3","0,0503","-4.4","0,0316","-11.7","0,0313","-11.7","0,0313","    3224.5","5","    3224.5","0","    473.0"," ,0","","","      511"," ,0","     10.33","0","     16.46","0","      4.20","0","","","","","","","","","",""
"USW00094918","1977","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    586.0","","     586.0","0","       116","0","        61","0","        14","0","       41","","        12","0","        21","0","       126","0","        52","0","       168","0","        23","0","        47"," ","         5"," ","        39"," ","  -28.3","0,0116, ","   102"," ,0,0123,+","   104"," ,0,0115, ","  94.5"," ,0,0717, ","   37.8","0,0706,+","0.0","0,1009","-2.2","0,1012","-5.6","0,1112","-7.8","0,1120","-10.6","0,1121","-2.2","0,0406","-2.2","0,0406","-5.0","0,0322","-7.2","0,0306","-11.7","0,0301","    3582.8","8","    3582.8","0","   1055.0"," ,0","","","      773"," ,0","     10.61","0","     16.20","0","      5.02","0","","","","","","","","","",""
"USW00094918","1978","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    611.7","","     611.7","0","       105","0","        54","0","         6","0","       89","","        14","0","        32","0","       140","0","        78","0","       149","0","        30","0","       119"," ","        22"," ","        57"," ","  -25.6","0,0202,+","   330"," ,0,0214, ","   170"," ,0,0213, ","  34.5"," ,0,0619, ","   36.7","0,0705,+","0.0","0,1016","-3.3","0,1113","-6.7","0,1114","-6.7","0,1114","-12.2","0,1119","-2.2","0,0421","-2.2","0,0421","-8.9","0,0317","-8.9","0,0317","-8.9","0,0317","    4064.1","1","    4064.1","0","    641.4"," ,0","      53.2","X","     1238"," ,0","      8.60","0","     13.90","0","      3.30","0","   144324","X","","","       315","X","","","      18.3","X"
"USW00094918","1979","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    540.4","","     540.4","0","        99","0","        56","0","         5","0","       72","","        12","0","        32","0","       146","0","        61","0","       150","0","        19","0","       122"," ","        21"," ","        51"," ","  -27.2","0,0216, ","   229"," ,0,0127, ","   155"," ,0,0303, ","  65.3"," ,0,1030, ","   36.7","0,0614, ","0.0","0,1012","-5.0","0,1013","-5.0","0,1013","-9.4","0,1110","-9.4","0,1110","0.0","0,0428","-6.7","0,0406","-6.7","0,0406","-6.7","0,0406","-12.2","0,0315","    4195.9","9","    4195.9","0","    720.0"," ,0","      56.6","X","      829"," ,0","      8.76","0","     14.24","0","      3.27","0","   153738","X","","","","","","","",""
"USW00094918","1980","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    710.9","","     710.9","0","        88","0","        51","0","         9","0","       42","","         9","0","         9","0","       138","0","        53","0","       159","0","        42","0","        98"," ","        12"," ","        49"," ","  -23.9","0,0131, ","   127"," ,0,0305,+","   132"," ,0,1027, ","  59.2"," ,0,0817, ","   37.8","0,0807, ","-0.6","0,1003","-3.3","0,1026","-4.4","0,1028","-7.2","0,1118","-14.4","0,1201","-0.6","0,0508","-3.9","0,0325","-4.4","0,0317","-8.3","0,0311","-10.0","0,0306","    3512.0","0","    3512.0","0","    739.9"," ,0","      59.4","X","      799"," ,0","     10.54","0","     16.09","0","      4.99","0","   162654","X","","","","","","","",""
"USW00094918","1981","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    560.7","","     560.7","0","        84","0","        50","0","         9","0","       35","","         7","0","        10","0","       113","0","        35","0","       155","0","        19","0","       115"," ","        16"," ","        39"," ","  -28.9","0,0211, ","   102"," ,0,1218,+","   104"," ,0,1216, ","  63.2"," ,0,0801, ","   39.4","0,0714,+","-1.1","0,1019","-2.8","0,1022","-6.7","0,1023","-6.7","0,1023","-9.4","0,1120","0.0","0,0405","-4.4","0,0320","-4.4","0,0320","-7.8","0,0307","-13.3","0,0212","    3118.2","2","    3118.2","0","    732.0"," ,0","","","      559"," ,0","     11.13","0","     16.72","0","      5.54","0","","","","","","","","","",""
"USW00094918","1982","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    477.4","","     477.4","0","       115","0","        67","0","         8","0","       64","","         9","0","        25","0","       132","0","        61","0","       142","0","        13","0","       137"," ","        23"," ","        68"," ","  -30.0","0,0110, ","   152"," ,0,0205, ","   119"," ,0,0303, ","  51.8"," ,0,0319, ","   36.7","0,0803, ","-1.7","0,1020","-2.2","0,1021","-4.4","0,1103","-6.7","0,1104","-10.6","0,1112","0.0","0,0422","-6.7","0,0409","-6.7","0,0409","-6.7","0,0409","-8.9","0,0406","    3823.3","3","    3823.3","0","    870.3"," ,0","      49.6","X","      634"," ,0","      9.15","0","     14.20","0","      4.09","0","   134262","X","","","","","","","",""
"USW00094918","1983","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    769.8","","     769.8","0","       113","0","        62","0","         7","0","       85","","        22","0","        14","0","       137","0","        64","0","       135","0","        44","0","       138"," ","        26"," ","        49"," ","  -31.1","0,1222, ","   356"," ,0,1221, ","   216"," ,0,1127, ","  54.9"," ,0,1127, ","   41.1","0,0816, ","-2.2","0,1110","-2.2","0,1110","-5.6","0,1123","-8.9","0,1124","-8.9","0,1124","-0.6","0,0419","-3.9","0,0418","-5.0","0,0328","-7.8","0,0322","-10.0","0,0310","    3530.7","7","    3530.7","0","    812.7"," ,0","      49.7","X","     1888"," ,0","      9.78","0","     14.44","0","      5.12","0","   140790","X","","","       360","X","","","      17.9","X"
"USW00094918","1984","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","","","    597.7","","     597.7","0","       125","0","        83","0","         9","0","       61","","        12","0","        12","0","       129","0","        43","0","       135","0","        31","0","       127"," ","        19"," ","        50"," ","  -26.1","0,0120, ","   356"," ,0,0102,+","   165"," ,0,1213, ","  67.6"," ,0,1215, ","   37.8","0,0828,+","-2.2","0,0929","-2.2","0,0929","-4.4","0,1101","-7.2","0,1202","-11.1","0,1203","0.0","0,0429","-3.9","0,0330","-7.8","0,0320","-7.8","0,0320","-18.3","0,0310","    3958.8","8","    3958.8","0","    975.4"," ,0","","","      956"," ,0","     10.02","0","     15.06","0","      4.98","0","   160509","X","","","","","","","",""
"USW00094918","1985","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","       4.4","X","    513.6","","     513.6","0","       103","0","        59","0","         3","0","       65","","         9","0","        23","0","       131","0","        64","0","       148","0","        18","0","       111"," ","        15"," ","        54"," ","  -27.2","0,0120,+","   152"," ,0,0401,+","    99"," ,0,0330, ","  29.5"," ,0,0719, ","   37.2","0,0608, ","-1.1","0,1001","-2.8","0,1109","-5.0","0,1118","-11.7","0,1119","-11.7","0,1119","-1.1","0,0409","-5.0","0,0401","-5.0","0,0401","-8.3","0,0305","-13.3","0,0215","    3408.4","4","    3408.4","0","    555.4"," ,0","","","      747"," ,0","      9.30","0","     14.53","0","      4.07","0","   156173","X","       180","X","       180","X","      24.7","X","      16.1","X"
"USW00094918","1986","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","       4.0","X","    567.7","","     567.7","0","       114","0","        73","0","         7","0","       40","","         5","0","        10","0","       131","0","        34","0","       153","0","        20","0","       124"," ","        23"," ","        70"," ","  -22.8","0,0212, ","   152"," ,0,0215,+","    71"," ,0,1201, ","  63.8"," ,0,1011, ","   36.1","0,0728, ","-1.7","0,1013","-6.1","0,1109","-6.1","0,1109","-16.7","0,1110","-16.7","0,1110","0.0","0,0428","-2.2","0,0415","-4.4","0,0414","-11.1","0,0320","-11.1","0,0320","    3587.0","0","    3587.0","0","    943.5"," ,0","","","      369"," ,0","     10.99","0","     16.16","0","      5.81","0","   161682","X","       315","X","       315","X","      22.6","X","      16.5","X"
"USW00094918","1987","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","       3.9","X","    665.1","","     665.1","0","       100","0","        57","0","         6","0","       20","","         5","0","         1","0","       118","0","        21","0","       163","0","        32","0","        89"," ","        16"," ","        50"," ","  -20.6","0,0123, ","   330"," ,0,0329, ","   239"," ,0,0328, ","  78.7"," ,0,0526, ","   37.2","0,0801,+","0.0","0,1007","-5.0","0,1011","-5.0","0,1011","-7.2","0,1202","-10.6","0,1216","0.0","0,0412","-4.4","0,0403","-4.4","0,0403","-9.4","0,0331","-9.4","0,0331","    3024.1","1","    3024.1","0","    820.3"," ,0","","","      648"," ,0","     12.07","0","     17.35","0","      6.78","0","   160297","X","       360","X","       315","X","      22.1","X","      15.6","X"
"USW00094918","1988","41.36667","-96.01667","399.0","OMAHA WSFO, NE US","       4.3","X","    780.3","","     780.3","0","        72","0","        38","0","         6","0","       19","","         4","0","        15","0","       131","0","        38","0","       161","0","        41","0","        62"," ","         7"," ","        38"," ","  -26.7","0,0211, ","    76"," ,0,1212,+","    89"," ,0,1115, ","  54.6"," ,0,0928, ","   40.0","0,0621, ","0.0","0,1004","-5.0","0,1028","-5.0","0,1028","-7.8","0,1127","-10.6","0,1128","0.0","0,0427","-2.8","0,0418","-5.6","0,0318","-9.4","0,0316","-9.4","0,0316","    3353.1","1","    3353.1","0","    542.6"," ,0","","","      377"," ,0","     11.25","0","     17.28","0","      5.22","0","   195285","X","       360","X","       360","X","      23.6","X","      15.6","X"
