"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"RQC00664276","1973","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2278.0","","    2278.0","0","       212","0","        83","0","         8","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        55","0","","","","","   12.2","0,0212,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  78.7"," ,0,0816, ","   33.9","0,0708, ","    1579.9","0","       0.0","0","       0.0","0","","","","","   1076.5"," ,0","        0"," ,0","     24.56","0","     30.36","0","     18.76","0","     22917","0"
"RQC00664276","1974","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2142.5","","    2142.5","0","       236","0","       117","0","        16","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","        66","0","","","","","   12.8","0,0312,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 100.8"," ,0,1023, ","   33.9","0,0721,+","    1611.6","0","       0.0","0","       0.0","0","","","","","   1571.6"," ,0","        0"," ,0","     24.21","0","     29.97","0","     18.45","0","     24375","0"
"RQC00664276","1975","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2141.7","","    2141.7","0","       219","0","       119","0","        17","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        42","0","","","","","   11.7","0,0206, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  99.6"," ,0,1210, ","   33.3","0,0805, ","    1595.0","0","       0.0","0","       0.0","0","","","","","   1769.2"," ,0","        0"," ,0","     24.20","0","     29.86","0","     18.55","0","     24054","0"
"RQC00664276","1976","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2132.7","","    2132.7","0","       221","0","       106","0","         9","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        35","0","","","","","   12.2","0,0307, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 146.1"," ,0,1015, ","   32.8","0,1015,+","    1586.0","0","       0.0","0","       0.0","0","","","","","   1350.9"," ,0","        0"," ,0","     24.17","0","     29.76","0","     18.59","0","     24827","0"
"RQC00664276","1977","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2340.1","","    2340.1","0","       200","0","       108","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","        59","0","","","","","   13.3","0,0110,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 209.0"," ,0,1125, ","   33.9","0,1120, ","    1510.0","0","       0.0","0","       0.0","0","","","","","   1833.5"," ,0","        0"," ,0","     24.75","0","     30.34","0","     19.15","0","     22643","0"
"RQC00664276","1978","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2412.3","","    2412.3","0","       212","0","       108","0","        12","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","        61","0","","","","","   12.8","0,0215, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  76.7"," ,0,1027, ","   33.3","0,0910, ","    1565.2","0","       0.0","0","       0.0","0","     20.89","0","     31.40","0","   1379.2"," ,0","        0"," ,0","     24.98","0","     30.43","0","     19.53","0","     22802","0"
"RQC00664276","1979","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2396.6","","    2396.6","0","       223","0","       121","0","        22","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","        44","0","","","","","   11.7","0,0306, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  96.8"," ,0,0630, ","   32.8","0,1031,+","    1429.2","0","       0.0","0","       0.0","0","     20.64","0","     30.70","0","   2049.5"," ,0","        0"," ,0","     24.91","0","     30.02","0","     19.80","0","     23143","0"
"RQC00664276","1980","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2528.4","","    2528.4","0","       188","0","       100","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       366","0","       108","0","","","","","   11.1","0,0116, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  89.9"," ,0,0625, ","   33.9","0,1014, ","    1565.9","0","       0.0","0","       0.0","0","     20.60","0","     31.37","0","   1315.2"," ,0","        0"," ,0","     25.24","0","     30.87","0","     19.61","0","     20625","0"
"RQC00664276","1981","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2561.1","","    2561.1","0","       209","0","       129","0","        17","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        88","0","","","","","   13.3","0,0121, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  92.2"," ,0,0523, ","   34.4","0,0903, ","    1543.1","0","       0.0","0","       0.0","0","     20.34","0","     31.71","0","   1810.4"," ,0","        0"," ,0","     25.37","0","     30.73","0","     20.01","0","     18371","0"
"RQC00664276","1982","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2272.4","","    2272.4","0","       203","0","       108","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        40","0","","","","","   13.9","0,1219, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  94.0"," ,0,0913, ","   33.9","0,1012, ","    1621.3","0","       0.0","0","       0.0","0","     19.16","0","     31.04","0","   1648.1"," ,0","        0"," ,0","     24.57","0","     30.22","0","     18.91","0","     21330","0"
"RQC00664276","1983","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2513.0","","    2513.0","0","       173","0","        84","0","        22","0","","","         0","0","         0","0","         0","0","         0","0","       365","0","        85","0","","","","","   13.9","0,0209,+","","","     0"," ,0,1231,+","  79.2"," ,0,0705, ","   33.3","0,0813,+","    1697.0","0","       0.0","0","       0.0","0","     19.53","0","     31.69","0","   1572.6"," ,0","        0"," ,0","     25.21","0","     30.82","0","     19.59","0","     20674","0"
"RQC00664276","1984","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2328.3","","    2328.3","0","       209","0","       109","0","        12","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        59","0","","","","","   13.3","0,0311, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  78.7"," ,0,0705, ","   33.3","0,0826,+","","","       0.0","0","       0.0","0","","","","","   1423.8"," ,0","        0"," ,0","     24.74","0","     30.35","0","     19.13","0","",""
"RQC00664276","1985","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2274.7","","    2274.7","0","       218","0","        99","0","        22","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","        70","0","","","","","   13.3","0,0129,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 187.5"," ,0,1007, ","   32.8","0,0922,+","    1769.6","0","       0.0","0","       0.0","0","     18.64","0","     30.52","0","   1968.5"," ,0","        0"," ,0","     24.61","0","     30.20","0","     19.02","0","     24495","0"
"RQC00664276","1986","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2228.8","","    2228.8","0","       231","0","       115","0","         9","0","","","         0","0","         0","0","         0","0","         0","0","       364","0","        77","0","","","","","   12.2","0,0226, ","","","     0"," ,0,1231,+"," 123.2"," ,0,0829, ","   33.9","0,0827,+","    1767.7","0","       0.0","0","       0.0","0","","","","","   1519.4"," ,0","        0"," ,0","     24.47","0","     30.61","0","     18.34","0","     22877","0"
"RQC00664276","1987","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2512.9","","    2512.9","0","       195","0","       110","0","        22","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","       146","0","","","","","   13.9","0,0314,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 211.6"," ,0,1127, ","   34.4","0,0920,+","    1747.2","0","       0.0","0","       0.0","0","     20.37","0","     31.69","0","   2158.6"," ,0","        0"," ,0","     25.29","0","     31.16","0","     19.42","0","     21488","0"
"RQC00664276","1988","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2313.5","","    2313.5","0","       224","0","       121","0","        18","0","        0","","         0","0","         0","0","         0","0","         0","0","       366","0","        94","0","","","","","   12.8","0,1212,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 119.9"," ,0,0825, ","   35.0","0,1024,+","    1575.2","0","       0.0","0","       0.0","0","","","","","   1651.8"," ,0","        0"," ,0","     24.79","0","     30.72","0","     18.85","0","     22249","0"
"RQC00664276","1989","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   1927.3","","    1927.3","0","       218","0","       109","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","        80","0","","","","","   12.2","0,1222,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  60.2"," ,0,0903, ","   39.4","0,0919, ","    1467.0","0","       0.0","0","       0.0","0","     21.86","0","     32.27","0","   1625.1"," ,0","        0"," ,0","     23.80","0","     30.50","0","     17.09","0","     21086","0"
"RQC00664276","1990","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2124.2","","    2124.2","0","       225","0","       111","0","        15","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","       121","0","","","","","    7.2","0,0122, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  78.0"," ,0,0615, ","   37.2","0,0416, ","    1806.1","0","       0.6","6","       0.6","0","     20.68","0","     32.28","0","   1542.5"," ,0","        0"," ,0","     24.29","0","     30.90","0","     17.68","0","     18062","0"
"RQC00664276","1991","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2129.2","","    2129.2","0","       214","0","        95","0","        11","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","       117","0","","","","","   10.0","0,1227, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  52.6"," ,0,0512, ","   34.4","0,0822,+","    1796.1","0","       0.0","0","       0.0","0","     20.45","0","     32.08","0","   1249.2"," ,0","        0"," ,0","     24.16","0","     30.80","0","     17.52","0","",""
"RQC00664276","1992","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   1999.0","","    1999.0","0","       217","0","       108","0","        12","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","       118","0","","","","","    7.2","0,0223, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  62.2"," ,0,0805, ","   33.9","0,1015,+","    1679.6","0","       0.0","0","       0.0","0","     20.57","0","     32.02","0","   1353.4"," ,0","        0"," ,0","     23.92","0","     30.90","0","     16.93","0","     19558","0"
"RQC00664276","1993","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2043.3","","    2043.3","0","       211","0","        97","0","        15","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","       118","0","","","","","    6.1","0,0112, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 162.8"," ,0,0823, ","   34.4","0,0823,+","    1729.7","0","       2.0","0","       2.0","0","     22.21","0","     33.56","0","   1567.0"," ,0","        0"," ,0","     23.97","0","     30.99","0","     16.95","0","     22018","0"
"RQC00664276","1994","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2186.3","","    2186.3","0","       195","0","        81","0","         6","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","       147","0","","","","","    7.2","0,0213, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  99.8"," ,0,0825, ","   35.6","0,1205, ","    1994.9","0","       0.0","0","       0.0","0","     21.13","0","     32.49","0","    996.0"," ,0","        0"," ,0","     24.35","0","     31.31","0","     17.39","0","     23354","0"
"RQC00664276","1995","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2149.7","","    2149.7","0","       214","0","       111","0","         9","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","       140","0","","","","","   10.6","0,0316, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 121.9"," ,0,0819, ","   35.0","0,0814,+","    1735.1","0","       0.0","0","       0.0","0","     20.27","0","     32.12","0","   1486.8"," ,0","        0"," ,0","     24.32","0","     31.33","0","     17.30","0","     14806","0"
"RQC00664276","1996","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   1815.5","","    1815.5","0","       215","0","       115","0","        10","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","        84","0","","","","","    6.1","0,0304, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 117.9"," ,0,0802, ","   33.9","0,1023,+","    1671.3","0","       0.0","0","       0.0","0","     20.66","0","     31.92","0","   2013.6"," ,0","        0"," ,0","     23.42","0","     30.73","0","     16.11","0","     20020","0"
"RQC00664276","1997","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2412.0","","    2412.0","0","       209","0","        83","0","         7","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","       178","0","","","","","    5.6","0,0216, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 122.4"," ,0,1014, ","   35.6","0,0623,+","    1859.3","0","       0.8","8","       0.8","0","     21.78","0","     33.92","0","   1070.0"," ,0","        0"," ,0","     24.98","0","     31.43","0","     18.51","0","     22955","0"
"RQC00664276","1998","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","","","","","       222","0","       131","0","        20","0","","","         0","0","         0","0","         0","0","","","","","","","","","","","   10.6","0,0310, ","","","     0"," ,0,1231,+"," 266.7"," ,0,0922, ","","","    1774.6","0","       0.0","0","       0.0","0","     21.23","0","     33.48","0","   2265.0"," ,0","        0"," ,0","","","","","     19.58","0","     18190","0"
"RQC00664276","1999","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2532.7","","    2532.7","0","       226","0","       118","0","        18","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","       149","0","","","","","   12.8","0,0208,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 121.2"," ,0,1118, ","   35.0","0,0609,+","    1661.5","0","","","","","     21.26","0","     33.05","0","   1781.8"," ,0","        0"," ,0","     25.25","0","     31.02","0","     19.48","0","     20655","0"
"RQC00664276","2000","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2401.2","","    2401.2","0","       210","0","        98","0","        12","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","       112","0","","","","","   11.7","0,0306,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 189.7"," ,0,0823, ","   34.4","0,0821,+","    1769.0","0","       0.0","0","       0.0","0","     19.75","0","     31.62","0","   1412.9"," ,0","        0"," ,0","     24.93","0","     30.81","0","     19.06","0","     22738","0"
"RQC00664276","2001","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2462.2","","    2462.2","0","       216","0","       100","0","        11","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","       146","0","","","","","   13.3","0,0114, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 111.5"," ,0,1108, ","   35.0","0,1001, ","    1781.6","0","       0.0","0","       0.0","0","     19.81","0","     31.40","0","   1390.5"," ,0","        0"," ,0","     25.22","0","     31.29","0","     19.14","0","     22528","0"
"RQC00664276","2002","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2480.5","","    2480.5","0","       211","0","        97","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       360","0","       156","0","","","","","   12.8","0,0324, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  97.8"," ,0,0916, ","   35.0","0,0915,+","    1721.2","0","       0.0","0","       0.0","0","","","     32.82","0","   1451.6"," ,0","        0"," ,0","     25.22","0","     31.39","0","     19.06","0","     11004","0"
"RQC00664276","2003","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2588.9","","    2588.9","0","       229","0","       108","0","        24","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","       142","0","","","","","   15.0","0,0228,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 103.6"," ,0,1117, ","   34.4","0,1026,+","    1751.7","0","       0.0","0","       0.0","0","     20.58","0","     32.42","0","   2033.5"," ,0","        0"," ,0","     25.56","0","     31.40","0","     19.72","0","     21227","0"
"RQC00664276","2004","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2383.1","","    2383.1","0","       235","0","       138","0","        21","0","        0","","         0","0","         0","0","         0","0","         0","0","       359","0","       100","0","","","","","   13.9","0,0308,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 188.5"," ,0,0916, ","   35.6","0,0907, ","    1554.6","0","       0.0","0","       0.0","0","     20.23","0","     31.74","0","   2260.3"," ,0","        0"," ,0","     24.99","0","     30.53","0","     19.45","0","     18621","0"
"RQC00664276","2005","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2498.2","","    2498.2","0","       216","0","       119","0","        21","0","        0","","         0","0","         0","0","         0","0","         0","0","       360","0","       157","0","","","","","   12.8","0,0205,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 114.3"," ,0,0816, ","   36.1","0,0812, ","    1692.6","0","       0.0","0","       0.0","0","     20.63","0","     32.10","0","   1946.7"," ,0","        0"," ,0","     25.35","0","     31.05","0","     19.66","0","     19123","0"
"RQC00664276","2006","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2404.8","","    2404.8","0","       205","0","       114","0","        16","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","       142","0","","","","","   13.3","0,0311,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  68.3"," ,0,0710, ","   34.4","0,0921,+","    1694.0","0","       0.0","0","       0.0","0","     19.98","0","     32.18","0","   1532.1"," ,0","        0"," ,0","     25.00","0","     31.17","0","     18.83","0","     18177","0"
"RQC00664276","2007","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2346.8","","    2346.8","0","       209","0","       109","0","        16","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","       165","0","","","","","   12.8","0,0402, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 114.3"," ,0,1028, ","   34.4","0,0920,+","    1796.1","0","       0.0","0","       0.0","0","     20.35","0","     32.49","0","   1659.3"," ,0","        0"," ,0","     24.91","0","     31.45","0","     18.38","0","     19724","0"
"RQC00664276","2008","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2427.4","","    2427.4","0","       208","0","       107","0","        12","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","       139","0","","","","","   11.1","0,0209, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 184.9"," ,0,0922, ","   36.7","0,1109, ","    1747.1","0","       0.0","0","       0.0","0","","","","","   1654.9"," ,0","        0"," ,0","     25.04","0","     31.13","0","     18.93","0","     19474","0"
"RQC00664276","2009","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","       0.0","0","       0.0","0","","","","","   1557.4"," ,0","        0"," ,0","","","","","","","",""
"RQC00664276","2010","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2965.5","","    2965.5","0","       207","0","       117","0","        25","0","        0","","         0","0","         0","0","         0","0","         0","0","       359","0","       240","0","","","","","   13.3","0,1227,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  73.7"," ,0,0831, ","   36.1","0,0902,+","    1593.3","0","","","","","","","","","   1936.5"," ,0","        0"," ,0","     26.59","0","     32.83","0","     20.35","0","     12431","0"
"RQC00664276","2011","18.2583","-65.9922","48.8","GURABO SUBSTATION, PR US","   2775.9","","    2775.9","K","       221","K","       124","K","        20","K","","","","","         0","K","         0","K","         0","K","       354","K","       247","K","","","","","   13.9","K,0225, ","","","",""," 196.3"," ,K,0824, ","   37.2","K,0929,+","","","       0.0","0","       0.0","K","","","","","   2343.7"," ,K","","","     26.17","K","     32.68","K","     19.66","K","     15886","K"
