"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00169865","1969","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1327.3","","    1327.3","0","        99","0","        67","0","        21","0","        0","","         0","0","         0","0","        27","0","         0","0","       258","0","        97","0","   -7.8","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 170.4"," ,0,0723, ","   38.3","0,0704, ","-3.9","0,1115","-3.9","0,1115","","","","","","","-0.6","0,0311","-2.8","0,0204","-7.8","0,0105","-7.8","0,0105","","","    1190.0","0","    1190.0","0","","","   1500.5"," ,0","        0"," ,0","     18.88","0","     24.99","0","     12.77","0","     13963","0"
"USC00169865","1970","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1349.9","","    1349.9","0","       102","0","        68","0","        14","0","        0","","         0","0","         0","0","        35","0","         0","0","       245","0","        81","0","   -9.4","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 188.5"," ,0,1012, ","   38.3","0,0705,+","-2.2","0,1116","-2.2","0,1116","","","","","","","-0.6","0,0314","-2.2","0,0210","-5.6","0,0204","-6.7","0,0109","-9.4","0,0107","    1193.1","1","    1193.1","0","","","   1378.2"," ,0","        0"," ,0","     18.71","0","     24.62","0","     12.80","0","     14155","0"
"USC00169865","1971","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1315.4","","    1315.4","0","       113","0","        76","0","        19","0","        0","","         0","0","         0","0","        25","0","         2","0","       268","0","        79","0","   -5.6","0,0210, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 152.9"," ,0,1206, ","   36.1","0,0720,+","-0.6","0,1125","","","","","","","","","0.0","0,0407","-2.2","0,0308","-5.6","0,0210","","","","","    1124.5","5","    1124.5","0","     26.52","0","   1632.5"," ,0","        0"," ,0","     19.16","0","     25.01","0","     13.32","0","",""
"USC00169865","1972","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1408.6","","    1408.6","0","       115","0","        78","0","        15","0","        0","","         0","0","         0","0","        22","0","         0","0","       266","0","       100","0","   -7.2","0,0116, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 115.6"," ,0,1023, ","   37.2","0,0910, ","-2.2","0,1201","-2.2","0,1201","-5.6","0,1217","","","","","0.0","0,0303","-2.8","0,0205","-5.0","0,0204","-7.2","0,0116","","","     828.1","1","     828.1","0","","","   1363.3"," ,0","        0"," ,0","     19.30","0","     25.17","0","     13.42","0","     12385","0"
"USC00169865","1973","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","","","","","       119","0","        83","0","        30","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  91.7"," ,0,0325, ","","","","","","","","","","","","","","","","","","","","","","","    1230.9","9","    1230.9","0","","","   1962.5"," ,0","        0"," ,0","","","","","","","",""
"USC00169865","1974","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","","","","","        92","0","        71","0","        27","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 157.0"," ,0,0413, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1878.7"," ,0","        0"," ,0","","","","","","","",""
"USC00169865","1976","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1110.3","","    1110.3","0","       110","0","        78","0","        18","0","        0","","         0","0","         0","0","        42","0","         0","0","       258","0","        78","0","   -7.2","0,0108, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  67.3"," ,0,0718, ","   36.7","0,0817,+","0.0","0,1021","-2.2","0,1122","-4.4","0,1129","-6.7","0,1130","","","0.0","0,0224","-3.3","0,0128","-6.7","0,0109","-6.7","0,0109","","","","","","","","","   1378.0"," ,0","        0"," ,0","     18.11","0","     24.62","0","     11.61","0","",""
"USC00169865","1977","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","","","","","       100","0","        81","0","        27","0","        0","","         0","0","","","","","         1","0","       270","0","       100","0","","","     0"," ,0,1231,+","     0","T,0,0102, "," 106.7"," ,0,0823, ","   37.8","0,0704,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1763.0"," ,0","        0","T,0","","","     25.57","0","","","",""
"USC00169865","1978","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1438.2","","    1438.2","0","        99","0","        69","0","         9","0","        1","","         0","0","         0","0","        58","0","         2","0","       265","0","       105","0","   -6.7","0,1212,+","    25"," ,0,0120, ","     0"," ,0,1231,+"," 106.7"," ,0,0829, ","   37.2","0,0716,+","-1.1","0,1205","-6.1","0,1210","-6.1","0,1210","-6.7","0,1212","","","0.0","0,0310","-3.3","0,0305","-6.1","0,0223","-6.7","0,0222","","","","","","","","","   1044.2"," ,0","        0"," ,0","     18.42","0","     24.95","0","     11.89","0","",""
"USC00169865","1979","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1297.6","","    1297.6","0","       117","0","        87","0","        21","0","        0","","         0","0","         0","0","        47","0","         0","0","       256","0","        70","0","   -7.8","0,0115,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 158.0"," ,0,1213, ","   37.2","0,0705,+","0.0","0,1114","-3.9","0,1130","-6.7","0,1218","-6.7","0,1218","","","-0.6","0,0227","-2.2","0,0219","-5.0","0,0210","-6.7","0,0201","","","    1187.8","8","    1187.8","0","","","   2078.7"," ,0","        0"," ,0","     18.28","0","     24.28","0","     12.28","0","",""
"USC00169865","1980","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","","","","","        83","0","        60","0","        20","0","        0","","         0","0","         0","0","        39","0","","","","","","","   -5.6","0,0202, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 128.5"," ,0,0412, ","","","0.0","0,1031","-4.4","0,1221","-4.4","0,1221","","","","","-2.8","0,0304","-2.8","0,0304","-5.0","0,0303","","","","","","","","","","","   1316.0"," ,0","        0"," ,0","","","","","     12.72","0","",""
"USC00169865","1981","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1399.4","","    1399.4","0","        95","0","        67","0","        16","0","        0","","         0","0","         0","0","        39","0","         0","0","       268","0","        97","0","   -7.2","0,0212,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  67.3"," ,0,0501, ","   37.8","0,0817,+","-2.2","0,1121","-2.2","0,1121","-6.7","0,1219","-6.7","0,1219","","","-1.1","0,0214","-6.1","0,0213","-6.1","0,0213","-7.2","0,0212","","","","","","","","","   1174.3"," ,0","        0"," ,0","     18.91","0","     25.49","0","     12.34","0","",""
"USC00169865","1982","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1293.0","","    1293.0","0","       124","0","        81","0","        22","0","        0","","         0","0","         0","0","        42","0","         1","0","       277","0","       103","0","  -13.9","0,0111, ","     0","T,0,0114,+","     0","T,0,0114,+"," 172.0"," ,0,1226, ","   36.7","0,0826, ","-0.6","0,1105","-4.4","0,1213","-4.4","0,1213","","","","","-1.7","0,0308","-2.8","0,0211","-10.0","0,0118","-10.0","0,0118","-10.0","0,0118","    1116.5","5","    1116.5","0","","","   1892.1"," ,0","        0","T,0","     18.70","0","     25.66","0","     11.74","0","",""
"USC00169865","1983","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1253.7","","    1253.7","0","       106","0","        75","0","        18","0","        0","","         0","0","         0","0","        39","0","         4","0","       250","0","        85","0","  -13.3","0,1226,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 147.3"," ,0,0406, ","   37.2","0,0830,+","-0.6","0,1125","-2.2","0,1207","-4.4","0,1223","-9.4","0,1224","-9.4","0,1224","0.0","0,0322","-3.3","0,0105","-4.4","0,0104","","","","","    1220.3","3","    1220.3","0","","","   1531.4"," ,0","        0"," ,0","     17.96","0","     24.21","0","     11.70","0","",""
"USC00169865","1984","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1350.5","","    1350.5","0","       103","0","        73","0","        26","0","        0","","         0","0","         0","0","        33","0","         0","0","       281","0","        87","0","   -7.2","0,0121,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 182.9"," ,0,0607, ","   36.7","0,0820,+","-0.6","0,1122","-5.0","0,1207","-5.0","0,1207","","","","","-1.1","0,0307","-2.2","0,0301","-4.4","0,0207","-6.7","0,0122","","","    1322.6","6","    1322.6","0","","","   2040.3"," ,0","        0"," ,0","     19.14","0","     25.52","0","     12.75","0","",""
"USC00169865","1985","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     978.1","1","     978.1"," ","","","","","","","","","","","","","",""
